review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
Absolutely incredible!,2023-03-21,Therapist,5,,"Community, Compensation, free marketing, bonuses, free credentialing",Sometimes support can take awhile to respond to questions
Great company partner.,2023-02-02,"Paychotherapist in Los Angeles, CA",5,,"I have been very happy partnering with Grow Therapy. It does require clients to choose you as a therapist, but I have received many clients from Grow. Expect your caseload to take a few months (3-7mon) to build your practice into a full time gig. If you are ready for slow and steady building of a client base, this company partner is for you.",None the I have encountered.
Working at Grow,2023-02-15,Operations Associate,5,,"I started at Grow shortly after the new year, and it has been an amazing experience so far! Everyone has been incredibly kind and welcoming, their is next-level experience and intellect to learn from, and the work-life boundaries are great.","Projects and communications are fast-paced, but everyone is always willing to answer questions!"
Set your own hours,2023-02-23,Therapist,5,,You set your own hours and there are tons of support for questions. Very easy to get started.,Must be patient in building a caseload to meet your needs.
Perfect platform to start your private practice!,2023-02-23,"Licensed Clinical Social Worker LCSW in San Francisco, CA",5,,"flexibility, lots of referrals, work from anywhere, user-friendly platform, positive work culture, competitive compensation",The only con I can truly think of is no 401k options...which is something I understand given the contractor role.
Excellent place to work,2022-12-12,"Therapist in Sacramento, CA",5,,"I enjoy the Circle community, my caseload has grown very quickly, I was credentialed very quickly with a number of insurance providers and from the start (recruitment until now) customer service has been top tier (especially quick email responses). On top of all of that, now GROW therapy is paying for my Psychology Today profile and there's reoccurring subscription fees. P.S. I also loved the money tree sent to me!",Nothing. I love being a part of the GROW community.
Couldn't have done it without Grow,2023-01-23,Licensed Marriage and Family Therapist (LMFT),5,,Grow has been amazingly helpful; in starting my practice. I was onboarded and started seeing patients within 2 months (and a large part of that was simply due to the holidays). I stand by that Grow was truly made for therapists. I tried other similar platforms and they were not nearly as supportive of the therapists.,My only downside is not receiving as many in-person referrals as I would like.
Look No Further,2022-12-16,Licensed Clinical Social Worker LCSW,5,,"The best reasons are ease, connection and autonomy. Truly they make the paperwork, easy! The platform is user friendly. We also have a community that is very connected (even though we are all over the US) via an app that functions similar to FaceBook. We can refer to each other, ask opinions or treatment suggestions. Lastly, you work for you! Grow just takes care of the parts that make growing your practice, enjoyable.",Some kinks are still being worked out with the Grow platform. I don’t have any complaints but occasionally you hear of someone trying to fix an issue with how the platform functions or what it offers.
Great way to practice independently,2022-12-18,Mental Health Counselor/Psychotherapist,5,,"Grow is constantly improving their platform. They are extremely supportive and informative and seem to be available 7 days a week. Sometimes, they even answer a question within one hour on a Sunday. Scheduling has become much easier. Submitting invoices is a breeze. The company put us on ZocDoc and will expand marketing. I have thought of going out on my own but why bother? Grow does everything for you and it the best pay of any online company.",A learning curve like anything but there are great videos and support chat.
Awesome company,2023-02-12,"Mental Health Clinician in Silver Spring, MD",5,,"set own schedule, weekly payments, discounted CEUs, health insurance available if interested, ongoing support","although discounted, expanded virtual platform must be paid by clinician"
Mental Health Therapist,2023-01-29,Therapist,5,,"Great platform, lots of support, awesome connections with other providers, office hours, help during the onboarding process and ability to choose your available hours.","May be challenging for new therapists without experience and some administrative issues (e.g., client completion of initial paperwork, no shows) which is to be expected."
5 stars for Grow,2023-02-22,"PMHNP-BC in Ontario, CA",5,,Great Compensation Support Flexible schedule,Would be helpful to be able to speak with an actual person on the phone.
Great company,2023-02-10,Therapist,5,,"Great company , I have a full practice because of grow and they make billing and scheduling so easy . I now can concentrate on my clients. I fully recommend them",None to report I am happy
Excellent platform to see clients,2023-01-30,"Licensed Marriage and Family Therapist (LMFT) in Lindsay, CA",5,,The admin team and other providers are very helpful. I like that there is an opportunity to seek help 24/7.,Some insurances do not bill for no shows or late cancellations.
Positive Experience,2023-02-26,"Licensed Therapist in Indianapolis, IN",5,,Online community and easy onboarding,Slow to start (as expected with credentialing)
Flexible and Consistent,2023-01-06,Mental Health Counselor,5,,I love how I can make my own schedule around my kids schedules but still have consistent work coming in. The pay is good and the company is awesome to work for!,The only con I have found it the note taking is a little confusing but it gets easier as you go. This could also be because this is the first company that I have had to do notes for insurance.
Love to GROW Here!,2022-11-30,Licensed Marriage and Family Therapist (LMFT),5,,"I am so thankful that Grow allows me to do what I'm good at and help people! I can do my job with no worry and helpful support and a great support community of others that are passionate about helping others. I feel so supported and I Grow everyday with them. They are very honest and transparent about their company. They were being very honest that they handle the business side, so I can focus on the growth of my clients. Thankful for this company.","None, every company has growing areas, I go with flow"
Great Tele therapy Company,2022-11-20,"Licensed Marriage and Family Therapist (LMFT) in Redding, CA",5,,"Huge compensation, biggest I’ve seen. Use your own hours and synced Google calendar to schedule clients. Responsive staff. Allows for true independence than other seen from other Telehealth. You can use your own EHR if you want. They credential you and handle all the billing!","There’s more of a dashboard than an EHR but can still document with in the system. It takes a minute to get paid, approx 3 weeks, but typical with insurance companies."
FLEXIBILITY AND EASE,2023-01-23,Licensed Marriage and Family Therapist (LMFT),5,,Great life work balance. Easy note submission and billing process.,Not enough support. You have to wait 24 hours for a response.
Great Flexible Additive to my Practice,2023-01-10,Mental Health Counselor,5,,Grow offers the flexibility to take on as many or as little clients as I want too. They handle all of the onboarding and payment/insurance information with all clients.,"No paid time off allotment, as you are paid by only the services you provide."
Grow Therapy is the place to get your private practice started!,2023-01-24,Licensed Mental Health Therapist,5,,Great flexibility create your own hours Pay See the clients I want,There are no cons. Grow has been great.
Supportive Community and Quality Therapy at Grow,2022-10-30,Licensed Professional Counselor,5,,"They offer support via phone, internet, zoom. They have office hours multiple times per week to connect, answer questions, consultation. They assist with referrals, billing and payment. They have an organized system of notes and intake procedures. They have a large library of resources to use.","As you know in therapy, it takes time to credential and to grow your therapy clients, this is not a con of Grow therapy, it is just the process."
Convenienta and easy,2022-12-31,Anonymous Employee,5,,I have worked at Grow for two full months. It is easy and self explanatory. Help is always available.,Limited insurances accepted. Initial booking complated for some clients.
A Great Place to Grow,2022-12-31,"Licensed Professional Counselor in Mission, TX",5,,Absolutely love my experience with Grow Therapy. The platform is excellent and easy to use. The management provides great support for providers including marketing. Growing my practice with Grow Therapy!,None that I’ve been able to identify
Perfect place to start your own business,2022-10-14,Licensed Mental Health Counselor,5,,"Grow has been the whole reason I finally took the leap into private practice! All of the support covers everything I was afraid of doing for so many years. Grow has changed my life :) The compensation is very fair, especially considering there is no cost to sign up. They also always seems to be trying to improve in all areas, which is incredibly appreciated.","There are definitely some improvements that could be made on the platform as a whole, but again, they always seem to be working on improvements."
Amazing Growing Company With Work-Life Balance,2022-12-02,"Bilingual Customer Support Specialist in San Antonio, TX",5,,"-Great Support from Leadership -Encouragement for work-life balance -Management makes the effort to make everyone feel part of something bigger -Genuine feeling of teamwork and comradery -Always in the know of developments, even at top executive level",-As a growing company there will still be fires to put out or challenges to deal with until more definitely established
Happy to be with Grow.,2022-11-15,Counselor,5,,"Freedom, decent pay, support during credentialling, lots if unexpected extras like discount CEUs.","Some issues with communication with the company, slow to respond to issues that need attention."
This is a great place to start or grow your existing practice.,2022-12-19,"in Akron, OH",5,,"flexible work hours, support and finding clients, deals with insurance",can be slow in securing clients. but that works for me
I'm impressed!,2022-09-21,"Licensed Professional Counselor in Richmond, VA",5,,"I’m an LPC who joined with Grow Therapy several months ago and could not be happier with my decision. Grow offers an extremely helpful community platform with an abundance of resources for getting started, private practice start up and admin, continuing education, referrals, and even self-care. They have a professional and responsive support team that are always there to provide answers to questions as needed. I’m impressed with their underlying mission to help providers grow professionally, their honest pay structure, and their dedication to inclusivity.",None. Providers are responsible for managing their own work-life balance; Grow is supportive of all.
I love this company,2022-12-16,"Licensed Marriage and Family Therapist (LMFT) in Merced, CA",5,,I can work at my own pace and grow my practice the way I want to. Pay compensation is good and referrals are consistent,I have only had good experiences with Grow therapy so far!
Happy to be with Grow.,2022-11-15,Counselor,5,,"Freedom, decent pay, support during credentialling, lots if unexpected extras like discount CEUs.","Some issues with communication with the company, slow to respond to issues that need attention."
This is a great place to start or grow your existing practice.,2022-12-19,"in Akron, OH",5,,"flexible work hours, support and finding clients, deals with insurance",can be slow in securing clients. but that works for me
I'm impressed!,2022-09-21,"Licensed Professional Counselor in Richmond, VA",5,,"I’m an LPC who joined with Grow Therapy several months ago and could not be happier with my decision. Grow offers an extremely helpful community platform with an abundance of resources for getting started, private practice start up and admin, continuing education, referrals, and even self-care. They have a professional and responsive support team that are always there to provide answers to questions as needed. I’m impressed with their underlying mission to help providers grow professionally, their honest pay structure, and their dedication to inclusivity.",None. Providers are responsible for managing their own work-life balance; Grow is supportive of all.
I love this company,2022-12-16,"Licensed Marriage and Family Therapist (LMFT) in Merced, CA",5,,I can work at my own pace and grow my practice the way I want to. Pay compensation is good and referrals are consistent,I have only had good experiences with Grow therapy so far!
Great company,2022-12-28,Therapist,5,,"Flexible, step by step process to keep started,",Update website to easier functioning for client and providers
Makes having a private practice doable,2022-11-17,"Licensed Clinical Social Worker in Dana Point, CA",5,,"Grow Therapy has given me the opportunity to start my own private practice, without having to manage billing or finding new clients! I also love having access to other therapists for peer support!",I don’t have any cons so far!
Fair Insurance Compensation,2022-11-07,"Licensed Marriage and Family Therapist (LMFT) in Los Angeles, CA",5,,I have been on the Grow platform for almost 3 months and have had consistent client referrals since the first day. The compensation from the different insurance carriers has been fair and takes the stress off of my trying to keep up on payments.,The onboarding process can be lengthy.
People first company with an inspiring mission,2022-12-13,RCM Operations Manager,5,,Pay/Benefits Leadership Flexibility Opportunity to be part of the positive change in healthcare,None that I can think of!
Therapist,2022-10-02,Therapist,5,,"A great way to build a private practice for clinicians looking to work with a diverse mixture of clients through insurance and/or private pay, and Grow Therapy takes care of admin support, from credentialing to marketing, billing and insurance reimbursement, and providing the electronic health record and scheduling calendar.",I have no significant negative concerns at this time.
You're on your own,2022-11-26,"Counselor in Richmond, VA",4,,You're on you're own and reimbursement is great,You're on your own... Getting support takes a bit of time. No benefits
Awesome!,2022-12-05,"LPC Therapist in Houston, TX",5,,"Pay, community, quick response from team, clients",None at the present moment
start building your practice with Grow therapy,2022-11-15,"Psychiatric Nurse Practitioner in Atlanta, GA",5,,great way to ease into private practice.... no hassle or fighting for reimbursement!,"when patients don't pay, can't book, so you might lose clients"
Great Place to Work,2022-08-01,"Therapist in West Palm Beach, FL",5,,"My experience at Grow Therapy has been amazing. I was surprised by the ease of applying to join the many insurance panels and the lack of time it took. I was also impressed by the freedom it allows my previous clients to have in joining the site yet continuing to see me live. The site made it possible for clients who were previously swayed by my private, cash rates to utilize their insurance and continue in service with me. I have also appreciated the rapid payment schedules and reimbursements. Overall, my experience with Grow Therapy has exceeded my expectations.",None to report at this time.
Amazing,2022-10-23,"Therapist in Boston, MA",5,,"Flexibility, convenience, potential for growth, easy communication, and learning videos. I love access to trainings",None at this point right now
BEST Place to start a private practise,2022-10-15,"PMHNP-BC in Cleveland, OH",5,,if you are looking to start your own practice Grow makes it easy by completing credentialing and providing a platform for you,not their fault but credentialling is slow
Flexibility and good pay,2022-10-26,Licensed Clinical Social Worker LCSW,5,,"Super easy to get paneled, great rates, great EHR platform and awesome community board with supportive clinicians , flexible schedule",Some rates from insurances aren’t as good as others
Who says you can't find the prefect partner,2022-10-11,Private Practice Therapist,5,,"Deals with most insurance companies and always adding First-class consultation and support anytime, anywhere. Being able to say ""I'm not available today"" and mean it.",No insurance for contractors at this time.
Great Place to Work and Make a Difference,2022-04-27,"Operations Leader in Los Angeles, CA",5,,- Strong mission which everyone is working toward - Great colleagues where everyone is willing to help each other out - Building a culture of transparency to ensure folks at all levels have a sense of how the company is performing and where we’re heading - Competitive comp and benefits,"It’s a startup so there are plenty of undefined processes but if you like to build things that can scale and last, you’ll enjoy this challenge. Also can occasionally have long hours, but compared to many other startups the hours haven’t been terrible and leadership has created benefits to encourage work life balance (e.g. once per week you can start 2 hours late for your personal life)"
Great company to work with,2022-08-20,"Psychiatric Nurse Practitioner in Salem, MA",5,,Grow Therapy helps the provider build and maintain a private practice by taking over task such as scheduling and billing so the provider can focus on clinical issues. Their support system is strong both around clinical matters and operational issues.,None I can think about. They are great at taking feedback and working on it.
Well managed Private Practice Gig,2022-08-26,"Psychotherapist in Philadelphia, PA",5,,Grow is a great way to start your own private practice. It is an intuitive system to use and the staff at Grow are beyond helpful. I easily started seeing clients and questions are answered quickly if needed. There is also a ton of community support offered via the platform.,No cons at this time
"Great place, good mission, lots of energy",2022-10-19,Anonymous Employee,5,,"Good people working on something important, smart and ambitious place with lots of room for growth",Can be a little hectic as with any startup!
Great Place to Start Your Business,2022-10-03,"Psychotherapist in Los Angeles, CA",5,,Excellent compensation Great community network Flexibility Ability to gain large caseload quickly,Calendar feature can use improvement
Thankful to be part of Grow,2022-04-27,"Anonymous Employee in New York, NY",5,,"Truly the first place I've worked where I felt valued. Team members are great to work with, ideas are valued, and I feel true ownership of my work.",Not a con or downside; I think there are some bumps in the onboarding process but I understand it's a rapidly growing (no pun intended) organization and I expect that they will smooth out that process as they are very open to feedback.
Grow Therapy makes it easy to practice,2022-06-07,"Psychiatric Nurse Practitioner in Orlando, FL",5,,"As a prescriber, I've utterly enjoyed working with Grow Therapy to grow my private practice. Having the flexibility to see the patients I want to see, when I want to see them and having the full support of Grow Therapy for billing makes practicing a lot easier and more enjoyable. Also they have created a community for providers and therapist to be able to communicate and learn from one another. That's been amazing!",I would like more patients to schedule but I know this takes time.
The best place to work,2022-09-07,"Mental Health Counselor in Miami, FL",5,,"They help with my billing, questions I have about the therapy session, I receive guidance, I don’t feel alone it is the best team work.",The process to get the certification. For private insurance takes time
Great way to start your practice,2022-09-28,"Therapist- LMFT in Anaheim, CA",5,,Plenty of support. Lots of opportunities to get clients. And the interface is very user friendly.,None right now for me.
You're on your own,2022-11-26,"Counselor in Richmond, VA",4,,You're on you're own and reimbursement is great,You're on your own... Getting support takes a bit of time. No benefits
Great place to work!,2022-09-24,Anonymous Employee,5,,"Gets caseload very quickly, competitive pay, easy to use system",Some administrative errors but team responds quickly
Great company to support your private practice,2022-07-18,Licensed Professional Counselor,5,,"Grow Therapy has been a really supportive company that has helped me to start a private practice without the stress of doing everything by myself. They offer support, guidance, marketing tools, and resources to help therapists do what they love without all of the extra work in doing it alone. 5 stars!",No cons to list at this time
I love how Grow Therapy helps me to be an independent provider.,2022-08-02,"PMHNP in Orlando, FL",5,,"comfort of working from home, fast and reliable reimbursement, staffs respond quickly to questions or issues.","I don't have any complaints, really."
Mission Driven Employee Centered,2022-04-25,"Provider Success Associate in Denver, CO",5,,"Wonderful team that is compassionate about what they are doing. No one is above the grunt work and a true team mindset. Company works to make both in office and remote employees feel heard and equipped to do their job. Tech company agility, without the ""work yourself to death"" mentality Hiring to stay ahead of expectations instead of expecting current employees to double output.","The company is new(er), and therefore growth potential and expectations are ever changing or not yet set, (but this has also been acknowledged and systems implemented to help fix). Inter-department/ team understanding of day to day workings can be lacking."
Grow is great!,2022-06-02,Software Engineer,5,,"The people are amazing to work with. I feel that the company truly cares deeply about the mental health of its employees, being a mental health company itself. Lots of opportunity to make a big impact!","There’s a fair amount of tech debt as a result of the breakneck development pace from ~1 year ago, which seems pretty standard for startups that are just launching. Things are much less hectic now!"
Great place to work!,2022-04-25,"Provider Success Associate in Portland, OR",5,,"Really supportive colleagues who want you to succeed and will be there to help with anything, ability to WFH, really nice schedule and can be flexible depending on the day. Since it is WFH you are expected to manage your own time, which for myself is something I was looking for when switching careers. They are a mental health company and it shows by how they treat their employees. Overall, it's been a dream job for where I'm at now and can see myself working here for a long time.",None that i've found yet.
Strong mission and culture,2022-05-09,Anonymous Employee,5,,"At Grow, I have met some of the most incredible and inspiring colleagues I have ever worked with! The work is always evolving as the company grows itself, and the challenge feels dynamic. The leadership is very transparent about goals and progress, giving me a sense of ownership in our company's journey.","It can be painful to not give our customers everything they want all the time when some of our competitors do, but I feel confident in the decisions our teams have made and excited by the product we are building."
Great for new private practice owners,2022-10-10,"Licensed Professional Counselor in Suffolk, VA",4,,Work life balance Administrative assistance Simplified documentation,Sometimes frustrating to not be able to call and talk to someone when you need help.
You are your own boss here,2022-06-18,"Psychiatric Nurse Practitioner in Allen, TX",5,,Flexible schedule No administration headache Get paid on time Support team in quick to response to your concerns Great support from peers for referral or questions,None I can think off
Great way to start your own practice,2022-07-29,Therapist,5,,Great work life balance. Great autonomy. Great support from the staff,There aren’t really any cons
Awesome Company,2022-08-06,Therapist,5,,Easy to onboard and obtain cleints,Little interaction with peers due to being remote
"Great mission, strong leadership, fun team",2022-04-26,"Product Manager in New York, NY",5,,"Leadership cares about the employees, they have a strong vision for where we are going, the growth has been exciting and necessary, and it's amazing being able to work focused on a mission that I'm passionate about","It's a fast-moving team which can make some things harder, but it's for all the right reasons!"
Great place to grow!,2022-05-23,"S S E(Senior Software Engineer) in New York, NY",5,,"- High growth startup with tons of different avenues to learn - Very culture/mission driven, comes with a great set of coworkers - Great benefits around mental healthcare, along with general work life balance - Transparent founders","- It is a high growth startup, so it is very fast paced, and might not be for everybody"
Great place to grow!,2022-05-23,"S S E(Senior Software Engineer) in New York, NY",5,,"- High growth startup with tons of different avenues to learn - Very culture/mission driven, comes with a great set of coworkers - Great benefits around mental healthcare, along with general work life balance - Transparent founders","- It is a high growth startup, so it is very fast paced, and might not be for everybody"
Great Company for Private Practitioners,2022-03-09,Licensed Clinical Social Worker,5,,I like the ease and ability of Grow Therapy to complete all the administrative tasks for clinicians. The platform is easy to use and community building within network of providers is a good way to support clinicians.,Need to make sure to communicate when the providers are paneled with insurance companies.
Great place to work if you want high impact work with a rewarding mission.,2022-04-19,Senior Software Engineer,5,,"* great mission - making provider's lives easier and increasing access to mental healthcare for the country * welcoming, friendly company and engineering culture * dogs in the office * diversity of work and autonomy * good compensation","* new department - not all the standard infrastructure yet, setting up new processes - comes with the size and can be fun to setup"
Proud to be a part of this company!,2022-04-25,Provider Growth Associate,5,,- Impacting the lives of providers who need support in private practice - Great and inclusive company culture - Support from every team member and a CEO who is active in our lives and our goals,"As a start-up company, we are still working out communication and logistics, but we are quickly learning how to be a top-tier company for providers and employees alike!"
Great company -- Proud to work here,2022-04-25,"Growth Manager in New York, NY",5,,- Compassionate Culture - Transparent Planning and Town Halls (Bi-Weekly) - Great Benefits - Positioned for Growth - Smart People - Remote Friendly - Mental Health space attracts passionate people who care about each other.,"I haven't encountered any yet. It might be a con for some: It's a growing company, many processes haven't been worked out yet."
Great Work Culture and ability to work on impactful projects,2022-04-13,Operations,5,,- Work Culture - Impactful Projects - Company values are reflected in internal goals/projects - Benefits - Easy to work remotely,- Not a true con but this is a start up and you have to flexible and willing to adapt to changes in priority
Great company to work for,2022-05-29,"Psychotherapist in Philadelphia, PA",5,,"Super supportive, quick to answer questions, even discounts on CEU’s with group discussions",None that I can see so far
Excellent opportunity to build private practice,2022-05-02,"Licensed Marriage & Family Therapist in Bridgeport, CT",5,,Flexibility Community support Easy platform- speedy response to any questions Insurance/billing/consent forms taken care of for you!!,Grow is for someone who is independent and wants flexibility I haven't found any cons so far.
Fantastic Fast Moving Company,2022-03-03,Senior Software Engineer,5,,"1. Great Coworkers and Management. 2. Great Pay and Benefits. 3. It's genuinely great to work with smart, hardworking people who motivate you every day to get better at your craft. Not to mention, it is awesome getting to work in improving Mental Health Care access for people.",I haven't found any yet.
Great place to learn and Grow!,2022-05-25,Software Engineer,5,,"Smart coworkers, energizing and welcoming environment, WLB","It's a startup, you'll have to ramp up and be productive quickly"
Fantastic Culture,2022-05-23,Anonymous Employee,5,,A great team working to help increase access to much needed mental health services,None that come to mind!
"Great culture, great mission, great people",2022-03-07,Engineering,5,,Really great people to work at. Very collaborative and transparent. Leadership is great.,Fast pace. Things are a little bit disorganized. Probably not really a con given its stage.
Provider Success Associate Role,2021-09-21,Provider Success Associate,5,,"Grow Therapy is a great company to work for. The people on our team are so responsive, positive and understanding. I never feel hesitant to ask for help or ask questions when needed. We all strive to work well together as a team.","The job is demanding, but we understand the importance of delegating work appropriately so that no one gets burnt out!"
Grow is the best!,2021-09-21,Anonymous Employee,5,,"Grow cares about its employees and who it serves, flexible work environment, team effort made by all, forward thinking, and best of all a culture that allows for idea sharing and is always willing to listen to all employees.",I cannot think of any downsides grow is great to work for!
"Mission Driven,",2021-09-22,Provider Success,5,,"The company has shown that it's not only mission driven, but also people + employee success driven. A team of passionate people coming together with intention and placing value on work that they're doing and valuing their people while doing so!",I can't think of one thing.
So happy I came to Grow!,2020-12-09,Anonymous Employee,5,,I’ve been working at Grow for two months and I absolutely love it - I have tons of autonomy to make my own decisions but I also have the support of the corporate team behind me as well. I really feel like a partner at Grow rather than just another employee,Onboarding process is somewhat long
