review_title,review_date,review_person,ratings,review_text,review_text_pro,review_text_con
What you thought,2023-03-24,"Marketing Specialist in San Francisco, CA",1,,I can now recognize leadership styles to avoid.,Ever changing environment that really sped up at the end.
"Great mission, scattered execution",2022-06-27,Director,4,,"Great perks including full menu of remote work options, unlimited PTO, monthly ""days of rest"" and meeting-free focus weeks, exceptionally talented and committed people, and you'll be working on an unparalleled and unique mission with significant implications for the health of society across the globe.","1) Elon Musk is buying it, maybe. There is zero clarity about what the company will be and what roles and skills will be in demand or on the chopping block if the deal closes and Twitter becomes a private company. 2) This company operates in the glare of public scrutiny like no other, literally all decisions are subject to intense debate and second-guessing from millions of people with scant context of the challenges involved in managing a social media platform at the scale and speed of Twitter. 3) There may not ever be as big a business here as Wall St. wants, management has been twisting itself into pretzels trying to figure out how to increase growth and revenue with only modest progress to date, and a lot of it boils down to trying to be less like Twitter and more like competitors like TikTok. 4) Teams, org structures and goals are in constant flux, providing little continuity for people on the front lines."
Mostly great - just needed better leadership,2022-11-10,"Creative Director in Los Angeles, CA",4,,"• People: The culture is phenomenal. The best people I've ever worked with - talent and personality. • Perks: All around, one of the best places for a good work/life balance • The brand is fun and great to be part of",• Leadership really lacked clarity in where we were going as a company • Very poor management and process - often times too many people on a project and unclear who is approving things
Super bad,2023-03-20,"Software Engineer in San Francisco, CA",1,,You will get the chance to code a lot since you will be evaluated based on the lines of code you wrote,Elon is a super bad CEO and Twitter culture sucks
Great Company to work for (Pre-Elon),2022-12-04,Software Engineer,5,,"- Lots of great benefits/expenses (gym, wifi, phone, wellness) - I didn't have to work over the normal 9-5 most of the times - There are a lot of great mentors and helpful people",- I only worked there as a new grad for a year. I didn't really have any huge complaints. Maybe I wish there was a better structure for new grads and onboarding in general.
Good,2023-02-02,Site Ops Tech,4,,Great Opportunity and growth within,No downside. Lack of benefits
Was the best company to work at,2023-01-18,"Software Engineer-1 in San Francisco, CA",5,,"Amazing coworkers, benefits, work-life balance",There were no downsides to working here prior to Elon Musk.
Great culture and benefits,2023-01-21,Sr.Manager Operations,5,,"Respectful, diverse, with good work-life balance, and great benefits",Many layers of decision making and hard to get things done
data scientist at Twitter,2023-03-02,"Data Scientist in San Francisco, CA",3,,"before acquisition, it's a great place with great culture and colleagues.","no vision as a company after acquisition, and no long term plans"
Strange times,2022-12-16,Senior Program Manager,2,,Little at this point but some good and hard working people left from pre-acquisition who strive to maintain a supportive and inclusive environment,"Love or hate CEO, huge swaths of teams and employees laid off recently with unclear reasoning. No firm company vision or OKRs, intense work culture. Terminations in the middle of the night, leadership emails at any time of day or night on any day of the week with short turnaround expectations. Overall it’s the worse company environment I’ve ever seen after a decade in corporate tech. Company seems to be in a downward spiral."
Not same anymore,2023-02-07,"Group Product Manager in Seattle, WA",1,,"Opportunity, interesting scope, impact, talent and comp","Lack of leaders, no vision, terrible culture."
Great place to grow,2022-10-14,Senior Program Manager,3,,Lots of opportunity to take on new challenges to help the business and your own growth. Ownership and autonomy on initiatives is empowering.,"Certain leaders with too much tenure are no longer effective. What worked for them and the team years ago, isn't helping Twitter mature now. Decision making is slower with company reorg - it's getting a tougher to produce good work."
Was great before Elon,2022-12-21,Sr. Software Engineer,4,,"Great work-life balance. Smart, fun coworkers. Cool technology and challenges.","Unfortunately Jack over-hired during covid and couldn't show anything for it, leaving the company in a position where it had few options"
Used to be a great place to work,2023-01-03,"Engineering Manager in San Francisco, CA",3,,It used to be a great place to work,I don't want to work in this place anymore
"Before acquisition, it was an amazing place to be.",2023-01-07,Anonymous Employee,4,,Company culture Work/life balance Benefit,Leadership Compensation Employee Retention Efficiency
This review is for Twitter 1.0 aka pre Elon take over,2022-12-27,"Senior Financial Analyst in Seattle, WA",5,,best wlb best coworkers fun perks good pay,None pre Elon Once Elon took over it was complete chaos
twitter 1.0 was a great company,2023-01-08,Anonymous Employee,5,,great culture and interesting colleagues,things may move slow sometimes
Great company to work at,2023-01-04,"Software Engineer II in Seattle, WA",5,,Awesome culture Great people Challenging work High impact,New management is unpredictable and impulsive
Work at Twitter,2023-01-04,Software Development Engineer (SDE),4,,Good company benefits like there is one Monday off every quarter,Projects are usually complicated but low impact
Great,2023-01-11,Senior Software Engineer,3,,"Good, this was good place",Not so many cons to mention
it's okay,2022-12-16,"Recruiter in San Francisco, CA",2,,nice people and innovative brand,lazy management and low pay
Was a nice place,2022-12-06,"Software Engineer II in Atlanta, GA",2,,It has a nice Work Life Balance,Don't have much chances to grow
Musk has ruined everything,2022-11-21,"Sr. Software Developer, Team Lead in Boulder, CO",2,,We are paid more than most private companies.,"Everything that was great with the company is now gone. Culture, tribal knowledge, fun, happiness, nothing remains other than fear and mismanagement."
It was good while it lasted,2022-11-14,Software Engineer,4,,One of the best places to work before all the drastic changes,Not the best environment anymore
What you expect,2023-01-05,Sales Representative,1,,Never boring given there’s something new on fire every 10 min,Lots of stress and unknowns
Great comoany,2022-11-30,"Software Engineer in Miami, FL",5,,We didn’t do much work and the pay was good,Since elon took over now there’s lot of work
Work culture,2022-11-20,Software Engineer,5,,"Work culture is amazing. Everyone is very considerate and chill, but very smart. Amazon projects to work on. Scope for acquiring leadership and communication skills.",It could get a little slow paced sometimes.
Headline,2022-12-08,"People Operations in Los Angeles, CA",5,,no pros I think honestly,"a lot, everything is wrong"
Culture Shift,2022-11-21,"Senior Strategy and Operations Manager in San Francisco, CA",3,,"Brilliant colleagues, good individual teams, excellent projects.",Twitter Culture had a dramatic shift in the past years even before Jack left. You could tell we were less employees and more numbers.
New management is horrible,2022-12-28,"Research Analyst in San Francisco, CA",1,,There used to be a fantastic culture,The new culture is toxic and seeks to burn employees out
Mess,2022-11-15,"Senior TPM in Atlanta, GA",1,,Twitter was in the process of building more innovative features/products to put on the platform.,"Elon Musk is there now and he's screwing everything up. It's apparent, he's no project/product/program/engineering manager but he's trucking along as if he is. All knowledge he's perceived to have is someone else's knowledge he stole."
Was once a great place to work,2022-11-21,Site Reliability Engineer,2,,Used to be a great place to work before Elon.,Elon doesn’t care about employees
Used to be the best company I've worked on,2022-12-15,"Software Engineer II in Washington, DC",1,,"Amazing people, care for employees, challenging work, lots to learn.",It's under Elon now. You sleep in the office and can be fired at any moment...
Was a great company before Musk,2022-11-14,Account Manager,3,,Really enjoyed Twitter and the company culture. My team salary the benefits literally everything.,Elon Musk had nothing better to do but to ruin everything.
Avoid,2022-06-04,Global TA Manager,2,,"There are some really smart and passionate people on the team. The benefits are really inclusive and expansive. Not the best in the industry but probably the most inclusive that I’ve seen. WFH and culture around giving back, volunteering. Employee first culture in HR - if your manager is a jerk they will get coached and held accountable ultimately.",Extreme favoritism - most promotions not based on actual performance. Toxic work culture - think the movie Mean Girls Dog eat dog culture that encourages back stabbing and theft of intellectual property. Low emotional IQ of TA senior leadership. VP is untrustworthy and has not demonstrated the capability to build execute or properly communicate. Not inclusive to introverts or neurodivergent personalities Instability of hostile takeover.
Tbd,2022-12-02,"Senior Financial Analyst in New York, NY",2,,New leadership; great culture; good benefits,Poor leadership; complacency; lack of accountability
No review,2022-11-30,"Data Scientist in San Francisco, CA",3,,"Good team, work life balance and great perks",Expectations are high and work depends on team
New owner ruined the company,2022-12-19,Engineer,1,,"the people I worked with are wonderful - talented, kind and helpful. Pay and WLB were very good",New owner ruined the company.
Great culture and people,2022-09-24,Account Manager,4,,The people are the best part of Twitter!,Things are unpredictable right now
Twitter,2022-11-16,Senior Data Scientist,2,,manager and teammates are knowledgable,Horrible after elon took over
It's over,2022-11-08,"Senior Software Engineer in Washington, DC",1,,Best company I've ever worked for,That company is gone now
great job,2022-10-15,Software Engineer,5,,pros great job very progressive,not really any cons twitter is awesome
Changed,2022-11-20,"SWE I in Chicago, IL",1,,It used to be great,Now it is completely different
Amazing people to work with,2022-10-05,Machine Learning Engineer,5,,1. Employee focused 2. Good perks,Boldness in decision making and execution need to be more.
"Great product impact, benefits, & people",2022-10-03,Product Manager,4,,Team is very collaborative and easy to work with.,PM Ladder isn't fit for entrepreneurs
Elon Ruined Twitter,2022-11-03,Sr. Finance Analyst,1,,Twitter was an amazing place to work until Elon took over. It will never be the same.,New leadership Elon Musk Layoffs
The thrill is gone,2022-11-07,"Senior Staff Product Designer in New York, NY",1,,-Amazing people were working there,-They're all gone now thanks to new ownership
New Management Blows,2022-11-08,"Sr. Software Engineer in Boulder, CO",1,,Twitter had a very supportive environment.,New management will work you to the bone.
Great place to work (Pre-Covid),2022-09-22,ML Engineer,5,,A leader that cares about a diverse workforce and the wellbeing of his employees,Not the best tech stack compared to other top tech companies
Not a collaborative workplace,2022-09-29,Engineering Manager,1,,+ some unique technical design and architecture challenges due to volume,+ team members are very focused on being 'staffed' on projects that will earn them a promotion. + this detracts from an overall focus on the success of a team
Great company,2022-06-14,Client Success Manager,5,,amazing coworkers and work/life balance,lots of turmoil in the company
Rescinded Offer,2022-06-15,"Software Engineer in San Francisco, CA",4,,Enjoyed my internships there and liked the team,My offer was rescinded due to business needs changing
So far so good,2022-05-08,"Software Engineer in New York, NY",5,,- Great Compensation - Great Benefits - Free food in the office - All of what you probably heard is true,- Not much really - The mentorship can be a little better
I love Twitter,2022-06-13,"Engineer in San Francisco, CA",5,,I learned a lot and it was a great experience.,I don't really have any.
Great Culture,2022-06-11,SRE Engineer,4,,"Culture, Food, People and work",Elon and leadership not leading in the right direction
"Great work life balance, smart engineers",2022-04-02,Software Engineer,5,,- The best work-life balance in tech - Pace is very much eng-driven so depending on where you are in your personal life you can be more aggressive or lenient - Collaboration among peers - Open and inclusive culture  - Lots of learning opportunities - Remote work,- Need some improvement on the management side - Stagnant stock
Twitter was awesome under Jack Dorsey,2022-05-12,"Staff Software Engineer in San Francisco, CA",5,,- Pay - Product - Compensation - Issues - Communication,- Management - Takeover - Commute - Culture - People
Terrible Top-Down Leadership,2022-02-16,Anonymous Employee,2,,"Lots of time off, solid benefits package and some great people in the middle ranks.","Tons of turnover at all levels and within all teams. Leadership has turned over a million times and is now taking a heavy handed top down approach, treating managers terribly, including humiliating them in group meetings."
Great Environment,2022-05-16,"Anonymous Employee in San Francisco, CA",5,,* one of the best companies to work for in terms of people * interesting technical challenges,* hard to convince people of new ways * things move slowly
Lack of Accountability,2022-05-18,Staff Technical Program Manager,2,,"Great perks, good PTO policy and benefits. Good compensation.",The lack of accountability at all levels makes it extremely difficult to operate as a TPM.
Great place to work,2022-02-14,"Software Engineer(Internship) in Atlanta, GA",5,,Colleagues are friendly. They offered a lot of courses.,Interns are not allowed to work in person during COVID-19.
Great place to work,2022-02-22,"Client Partner in New York, NY",5,,"Benefits, recognition, career growth, compensation","Visibility, innovation, product roadmap, cross functional collaboration"
Great company to work for!,2022-02-15,"Data Scientist in San Francisco, CA",5,,Excellent work atmosphere and great growth opportunity,There can sometimes be long work hours
1 Star only for flexibility and Comfort,2021-07-26,"Engineer in San Francisco, CA",1,,"Comfort Job, Flexibility and Remote Friendly","Poor Career Growth Mediocre Middle Management Lots of Referral Hires and hiring Standard gone down over year Twitter is no where compared to other Bay Area tech companies in terms of innovation, company has stopped innovating few years back. Your career is doomed if you join this company in your prime. If you start taking lot of proactiveness, you will instantly shut down with bureaucracy, Truly Mediocre middle management, all they care about is Head Count Growth and increasing their Team Strength at the cost of Company money and Ads revenue. No accountability, no threat to their job. One of the worst managed company I have ever worked for. If you are looking to learn and career growth, trust me this is not the company for you."
Review,2022-06-01,"Recruiter in New York, NY",3,,"Team, perks, location, travel, work",I do not wish to complete this
Excellent place to work!,2022-01-24,IT Support Engineer II,5,,"Pros:  Pays on the higher end than most companies  Really good benefits, like insurance, reimbursements, and PTO",Workload is a lot sometimes but nothing too major.
Amazing Company,2022-02-08,"Client Performance Analyst in New York, NY",5,,- Amazing Benefits and Work Culture and many opportunities for growth,- Can't think of any so far :)
Great Place To Work - Seriously,2021-12-21,"Anonymous Employee in San Francisco, CA",5,,"Great people to work with - staff really cares and it shows in the initiatives and goals they put in place. Benefits are top-notch and it's nice to be able to WFH, regardless of your job title.",None that I can think of.
"good values, poor execution",2022-05-13,Director,3,,"conscious company, committed to DE&I, good values and nice people","there's a price to nice, execute poorly and slowly"
Best company I've ever worked for,2022-01-15,"Staff Software Engineer in San Francisco, CA",5,,"A company where you truly feel cared for. Twitter goes out of its way to make employee's feel included, safe, and valued.",No major complaints from me
identity politics,2021-08-12,"Machine Learning Engineer in San Francisco, CA",2,,"- Impactful projects - Work life balance before Covid - Nice, helpful and competent colleagues in engineering - Compensation - Production innovation spree since 2020","- Work life balance during Covid - Advertised work location flexibility, not true in practice - Identity Politics - Political in every aspect - Constant re-orgs, hard to trust that big initiative will actually last, high turnover of management - Employees are called ""tweeps"" - ""Make the world a better place""-type CEO"
Yes,2021-12-12,Janitor/Cleaner,3,,Pretty decent in overall if we assume so,I believe so that it seems to. be
Absolutely Love it,2021-11-22,Anonymous Employee,5,,"love the people, the mission, the overall work/life balance",lots of changes makes it hard to keep the goal in mind
Great,2021-11-22,"Executive Assistant in Chicago, IL",5,,Great company with lots of perks and great people,Not a lot of opportunity in my field
Strong culture,2021-12-05,"Anonymous Employee in San Francisco, CA",4,,"Work/life balance, benefits, smart people, transparent","Tech debt, shifting priorities and objectives"
Great,2021-12-07,"Software Engineer in San Francisco, CA",5,,Great Fun Exciting Challenging Collaborative,None None None None None
-,2021-11-24,"Software Engineer(Internship) in Saint Louis, MO",4,,Good work environment and good connections.,"Competitive, repetitive work, working for the algorithm that enslaves us to technology."
"Great culture, needs more discipline",2021-10-25,Director,4,,"Great culture of smart, kind people. Fast-moving and always exciting! Great benefits.",Poor accountability and discipline. A lot of favoritism and not a performance based company.
Great culture,2021-11-29,Software Engineering Manager,4,,Great culture Focus on mental health Benefits,Big team sizes Communication flow could be improved
Overall so far so good,2021-10-29,"Software Engineer in Seattle, WA",5,,"pretty laid back culture, good PTO, many managers really push for you to get promoted",Staff seems almost a little bit too politically correct
Love it,2021-06-24,"Client Account Manager in New York, NY",5,,good work life balance and amazing benefits.,need to fine tune training during wfh. seems to be slow career growth.
Lots of space to grow!! IF you are ok with ambiguity.,2021-02-09,"Project Manager I in San Francisco, CA",5,,"Lots of available opportunities and room to create your own growth. Twitter acts much like a start up still in ways, and i've found that you can grow and expend your career based on how willing you are to come up with business justification, find areas of improvement, etc","Maybe not as common for others, but lots of manager changes. Not because managers are leaving, but because of constant reshuffling."
#LoveWhereYouWork,2021-07-06,Anonymous Employee,5,,- great culture - they really do something about the diversity,- too many politics - slow velocity
Color of your badge matters,2020-12-03,"Anonymous Employee in San Francisco, CA",3,,"For the most part your colleagues and your internal stakeholders will be fully transparent with you. Making the shift from in office work to remote was also incredibly smooth so kudos to leadership for taking that shift in stride. If you are an FTE aka a blue badge life is great. There was job security throughout the pandemic and days of rest/ holidays and of course the all important unlimited PTO which you could use for mental health days, sick days, etc. unfortunately if you didn’t have a blue badge, life at twitter is quite different.","As mentioned above if you are not a blue badge aka a full time employee (FTE) and are instead a full time contingent worker (40-45 hours/week for a fixed term) life isn’t great. First and foremost Twitter identifies contingent workers with green badges instead of blue. All in all not a big deal but people do take notice. Additionally Twitter encourages everyone to show up as their authentic self. This is some what laughable to those of us in the green badge ranks because if we show up with anything less than perfection (regardless of circumstance) you are cut loose. For example, when the pandemic started, everyone was told we would not have layoffs or pay cuts. That was true for blue badge employees but for those with green badges, if your contract expired and you were doing well, you were still terminated. (This was amended later to contract extensions but no conversions but a lot of people lost their jobs). Additionally I was sold on working a contract based on being able to work 45 hours a week with 5 of those hours being over time aka time and a half. When the pandemic started I along with my other contingent colleagues were told we could no longer work 45 hours but we were still expected to produce the same metrics. This essentially forced us into a pay cut of almost 20%. Again not something our FTE colleagues ever had to worry about. Twitter encourages everyone to show up authentically and to take care of themselves but when you are not given paid time off (literally no vacation) and are in a constant state of anxiety over whether or not you are going to hit your metrics it’s tough to show up authentically. I work constantly and I’m always scared if I’m next to be let go because of the color of my badge. If you have a blue badge you’re golden but definitely don’t join if they offer a contract to hire role."
Great work life balance,2021-06-21,"Senior Software Engineer in San Francisco, CA",4,,"Great work life balance, great benefits, reimburse phone and Internet.",not very competitive pay. 401k contribution is kinda sad
twitter is good,2021-07-06,Anonymous Employee,5,,culture is so good here,cannot think of any tbh
Love working here,2021-06-23,"Software Engineer in San Francisco, CA",5,,"Bright, friendly co-workers Great work/life balance for families Interesting work Great comp",None that I can think of
Opportunities for growth. Principled and ethical leadership,2021-06-02,"Policy Specialist in San Francisco, CA",4,,Fast growing company rooted in ethical principles,Less innovative and adaptive to other tech companies of similar size.
Join,2021-05-12,"Human Resources Manager in New York, NY",4,,AMazing place to work. Apply today!,"Silo's, Immature managers, Not the best place for non- white employee's."
"Almost great, but too many politics",2020-10-05,"Senior Director in San Francisco, CA",3,,Benefits and the people are generally really good. The work is interesting and important. The company REALLY cares about its impact on the world.,"Extremely indecisive. Executives and managers don't have control of their people or the work they do. Significant lack of rigor or goals oriented awards - promotions and advancement are primarily based on who you know. Topmost leaders at the company are at generally well meaning, but don't seem to be committed to a transparent, objective approach to managing priorities and funding. D&I focus is good, but over the top to the point of encouraging constant witch hunts."
Culture is great,2021-03-11,"Senior Data Scientist in Seattle, WA",5,,Culture is great; work life balance,Pay is not very competitive
Nice place to work!,2021-03-03,"Senior Program Manager in San Francisco, CA",4,,"Good culture, great people, empathetic management",Salary not comparable with peers in Bay Area
Manager at Twitter,2021-02-24,"Manager in New York, NY",5,,"Great perks, good work/life balance, competitive wages","Need to play politics to move up, can be cliquey"
Twitter has the best culture,2021-02-14,Senior Manager,5,,Culture Ceo Transparency Kind colleagues Fun workplace The company has the best culture period,Salary not always at par with the market Product has issues
Twitter Account Manager,2021-01-26,Account Manager,4,,"Amazing culture, benefits, and people.",Very strict rules and regulations as an employee. If you haven't been at the company for 5+ years there isn't strong career growth potential.
Medium but still growing fast,2021-02-28,"Senior ML Engineer in San Francisco, CA",5,,Inclusive culture; active product changes,Techniques are some how out of date.
Amazing company to work for,2021-01-31,Director,5,,"Truly care about employees, invest in people with training/education and great values.",Turing into a huge company has the ability to stifle creativity.
Dysfunctional and stressful,2021-02-18,Product Manager,2,,"Work like balance, brand, nice coworkers","Poor leadership, below market comp, constantly changing strategy, demoralizing work enviorment"
Great work environment,2021-03-01,Technical Recruiter,5,,Great work/life balance Great leadership Great mission,Could have better tools and systems
HR is invisible; managers aren't there to help you grow in any meaningful way and sometimes they hurt,2014-03-19,"Software Engineer in San Francisco, CA",3,,"Food, working with many very qualified and mostly ego-less engineers who really care about what they are doing, running a service that people care about, plenty to learn","Your happiness or sadness will depend almost entirely on whether the manager who owns you wants you to be happy or sad, whether they want you to stay or don't care if you disappear tomorrow. There is no obvious way to correct things if you are identified as a ""problem"". Every team has a completely different style, which accounts for the giddy reviews found elsewhere in this section. The hiring rally in 2013 made it much easier to dispose of people rather than solving problems so they could stay."
"Don't believe the BS, this is a company with huge opportunities",2015-08-30,"Director in San Francisco, CA",5,,"It's one of the few companies that really touches a huge number of regular people on a global scale. So much has been made of its user base vs Facebook, but if you've got 300+ million people using your product, you're doing *something* right. Every week, we hear scores of news stories about how Twitter played a part in changing something, helping people recognize some truth, or just help people have fun. People here are smart, but also relatable and compassionate. I've been at other big tech companies that had super-smart people, but they were much more unapproachable or prone to hole up in their work and not socialize. After DickC's departure, management seems to have really rallied around one another, which in my view is 100 percent attributable to Jack's leadership and moral authority. Management leveled out expectations with Wall Street after Q2, which caused short term pain but gives us runway to succeed in the long term. And yes, the food is awesome.","- Changing the external meme will take time and hard work. Don't come here if you just want to rest and vest. - This is a very mission-driven place. If you're not all in on the mission, the work may not be what you're looking for."
Okay,2020-11-19,"Finance in San Francisco, CA",3,,"Good food, okay location, fun environment decent benefits","Crazy managers, some mean people, can be an odd environment to work in."
"Amazing culture, energy, transparency, and perks",2013-07-30,"Senior Software Engineer in San Francisco, CA",5,,"Love the energy and the overall atmosphere of my colleagues. These folks are so upbeat, optimistic and passionate about the product it makes you want to invest your own money into the company.  Senior management does a terrific job of talking about high-level goals and accomplishments on a bi-weekly basis. The vibe during those meetings is electrifying, thanks in part to the CEO Dick Costolo who's both energetic and hilarious.  Ideas put forward by non-managers/VPs, including those from projects that happen during a quarterly hack week, are also taking seriously. There are forums where such ideas are discussed, and when appropriate they're adopted into the product.  Last but not least, there are tons of amazing perks including 3x/day free meals prepared by a world class chef (seriously, you have to try it), free beer on tap, lots of activities/classes, etc.","Some people might be put off by the narrow pyramid of direct reports reaching up to the CEO, i.e. there are too many layers separating most employees from the CEO in comparison to some other companies."
"If you're comfortable with change, it's an exhilarating ride.",2013-07-25,"Anonymous Employee in San Francisco, CA",5,,"- A product and a brand that has the potential to reach global scale. - A company that puts it's users above all else. - Challenging problems to solve with many passionate and smart people who want to figure them out. - Open communication and transparency when it counts. - Company is supportive of finding the right long term fit, even if it isn't on the team you're currently on. - Lots of excitement! Lots of change and growth - can be jarring if you're not accustom to this kind of environment.","- While communication is generally open, it can be hard to find the right channels to get information (I still struggle with this). - Internal tools aren't always a priority to help improve productivity (although I've been spoiled by Google's in a prior life). - Some whining and entitlement issues from a vocal (and often anonymous) few.  - Unclear growth and development path for managers (but people are working on this). - Constant growing pains. Lots of them, but almost a pro in the sense that we've worked through many of them successfully. (Seen a fail-whale lately?) - Old-timer blues."
Not the worst place to work,2021-01-16,Product Manager,3,,Smart Team and Missions drive,people management skills are undervalued.
No cogs here!,2015-08-17,"Engineering Manager in San Francisco, CA",5,,"If you like being a cog in a larger machine, then steer clear of Twitter/TellApart. This is one of the few places where I've been able to ramp insanely fast in terms of impact and responsibility. There are different challenges every day and plenty of opportunities for me to give feedback into Twitter/TellApart's future products and processes. The team is the best I have ever worked with...full stop. TellApart's bar for new hires is extremely high, but that has made the environment extremely positive. There have been plenty of blog posts regarding Twitter's ""morale problem"" but it's generally overblown. There are also too many perks to mention. In general, we are VERY well taken care of.","There have been quite a few shake-ups in senior management, but for the most part this hasn't affected my day-to-day. I am still optimistic about Twitter's future. Twitter/TellApart is not a place for people that need to be told what to do everyday. You should consider Twitter/TellApart if you lean more towards ""asking forgiveness rather than permission"" mindset. If you're coming from a start-up, you will feel a loss of nimbleness coming into a larger, publicly traded company."
Great,2020-08-10,"Data Scientist in New York, NY",5,,Great environment to work with equally great long term prospects.,None whatsoever. It's been great at Twitter.
Ok,2021-01-20,"Recruiting Manager in New York, NY",3,,"Culture, People, work, flexibility, product","Culture / People, lack of diversity"
Very good so far,2014-08-19,"Staff Software Engineer in San Francisco, CA",5,,"Overall, in many ways like Google at ~2004-2005 - but, fortunately, more relaxed. There is enough ""green field"" work, though less than 16 months ago when I joined. People are pretty energetic and motivated, but, fortunately, not up to the point of being aggressive or creating hierarchical cults. The overall culture is still in many ways engineer-driven. There is free food (very good) and even free beer :) Vacation policy is more or less ""get as much as you need, provided it's ok with your manager"". There is a free shuttle to the Bay Area... and, oh, yes - the IPO worked very well for employees, as far as I can tell.","It's difficult to find high-quality engineers and especially managers these days. I feel like the two managers added recently to my extended group are not extremely technically sharp. Also, I feel like occasionally the management in different parts of the company is unable to make a firm decision in one area or another, and lets things drag on their own for too long."
Love working at Twitter because the product matters to the world,2016-07-16,"Software Engineer in San Francisco, CA",5,,"If you love Twitter and what it stands for, it's a motivating place to work. Twitter is simultaneously making solid improvements to its core product while investing in some invigorating new areas like live video, AR/VR, and AI/computer vision. I've noticed an increasing number of new hires from places like Google, Facebook, Uber, and others lately which indicates that interest is strong.   Food is awesome at lunch time (not quite so much at dinner, but it's solid). HQ is a nice place to work.   At least on my team, management is very good at recognizing good work and promoting quickly.","There are visible departures of well liked people, most of whom seem to be leaving for smaller startups. I feel that this is a natural part of one's career, but it can still be disappointing when people who are admired and who care about Twitter still choose to leave.  Work on some teams can be slow due to a paranoia about experimenting to make sure metrics aren't hurt. I feel that leadership needs to be bolder in shipping to prevent churning and inefficiency."
"Good company, Very smart People, Pre-IPO bubble",2013-09-27,"Staff Software Engineer in San Francisco, CA",3,,- Great CEO. Very transparent and genuinely cares about the company - Very smart people (May be due to the Pre-IPO bubble but thats fine!)  - Really Challenging problems to work on - Competitive Salaries and excellent stock awards for engineers,- *Lots* of Engineering managers for a company of this size.  - Most of the Engineering managers are non-technical and add little-value (but do create a lot of noise) - Alarming amount of internal politics for a company so small (of ~2000 people)!. Feels like a company with 10x the number of people.
